,sentence,sentiment
0,according to the company has no plans to move all production to russia although that is where the company is growing,neutral
1,plans to develop in stages an area of no less than square meters in order to host companies working in computer technologies and telecommunications the statement said,neutral
2,the international electronic industry company has laid off tens of employees from its facility contrary to earlier layoffs the company contracted the ranks of its office workers the daily reported,negative
3,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,positive
4,according to the company s updated strategy for the years targets a net sales growth in the range of with an operating profit margin of of net sales,positive
5,financing of s growth is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding printed circuit boards,positive
6,for the last quarter of s net sales doubled to from for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of,positive
7,in the third quarter of net sales increased by to mn and operating profit by to mn,positive
8,operating profit rose to mn from mn in the corresponding period in representing of net sales,positive
9,operating profit totalled mn up from mn in representing of net sales,positive
10,said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen s offering to its customers,positive
11,credit suisse first boston raised the fair value for shares in four of the largest nordic forestry groups,positive
12,a purchase agreement for tons of gasoline with delivery at the terminal finland was signed with oil at the average index for this september plus eight us dollars per month,positive
13,finnish reports its operating profit increased to mn in from mn in and net sales totaled mn up from mn,positive
14,clothing retail chain s sales increased by to mn and operating profit rose to mn from mn in,positive
15,consolidated net sales increased to reach m while operating profit amounted to m compared to a loss of m in the prior year period,positive
16,foundries division reports its sales increased by to mn from mn in the corresponding period in and sales of the machine shop division increased by to mn from mn in the corresponding period in,positive
17,helsinki shares closed higher led by after it announced plans to team up with to manufacture g handsets and by tyres after its earnings report beat analysts expectations dealers said,positive
18,contract manufacturing services pvt a subsidiary of corporation of finland plans to double its revenues by,positive
19,its board of directors will propose a dividend of per share for up from the per share paid in,positive
20,was founded in and its revenues have risen on an average by with margins in late s,positive
21,a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum days of the russian economy that opened in helsinki today,positive
22,s subscriber base increased in to million users as of december while its market share by the number of customers amounted to as of late up from as of late according to estimates,positive
23,net income from life insurance doubled to mn from mn and net income from nonlife insurance rose to mn from mn in the corresponding period in,positive
24,net sales increased to m from m and pretax profit rose by to m,positive
25,net sales surged by to m said that m or of the sales came from the acquisitions made in,positive
26,group s operating profit increased in by percent to billion euros and total revenue by percent to billion euros,positive
27,operating profit for the period increased from m while net sales increased from m as compared to the corresponding period in,positive
28,operating profit for the period increased from m and net sales increased from m as compared to the corresponding period in,positive
29,operating profit for the period increased from m while revenue increased from m as compared to the corresponding period in,positive
30,the brazilian unit of finnish security solutions provider signed up new clients last year online news source reseller web quoted the division s commercial director vladimir as saying,positive
31,the company s net profit rose on the year to million euros in on sales of million euros up on the year the company said earlier,positive
32,the lithuanian beer market made up million liters in january a rise of percent from the figure the lithuanian brewers association reporting citing the results from its members,positive
33,viking line s cargo revenue increased by to mn and cargo volume increased by to cargo units,positive
34,the fair value of the property portfolio doubled as a result of the acquisition and totalled million,positive
35,february finnish media company hel said yesterday its net profit almost tripled to m from m for and announced a proposal for a raised payout,positive
36,a helsinki today reported of for an increase over of in,positive
37,stock exchange release february at am shipping part of group has signed a new contract with corporation for the marine transport of raw materials on the baltic sea,positive
38,commission income increased by to mn and lending volume rose by,positive
39,in january traffic measured in revenue passenger went up by and capacity measured in available seat ask rose by,positive
40,in net profit went up by to million and net sales to million from million,positive
41,net income from life insurance rose to mn from mn and net income from nonlife insurance to mn from mn in,positive
42,has also agreed to supply to up to tonnes of sulphuric acid per annum for use in s leaching process during the period of supply of the zinc in concentrate,positive
43,sales for both the department store division and hobby hall increased by while sales for the clothing store subsidiary decreased by,positive
44,sales have risen in other export markets,positive
45,sales increased due to growing market rates and increased operations,positive
46,the agreement strengthens our partnership with siemens networks,positive
47,the agreement was signed with healthcare the subsidiary of a finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems,positive
48,the company also estimates the already carried out investments to lead to an increase in its net sales for from when they reached million,positive
49,the company s order book stood at euro on september up by pct on the year with international orders amounting to euro,positive
50,the company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by percent compared with last year,positive
51,the world s second largest stainless steel maker said net profit in the period until dec surged to euro million us million or euro us per share from euro million or euro per share the previous year,positive
52,within the framework of the partnership siemens networks has signed an initial framework purchase agreement with subsidiary mikron which is the largest manufacturer and exporter of microelectronic components in russia,positive
53,s revenue increased by to m in finland revenue went down by to m while sales abroad rose by to m sales increased in all the baltic countries as well as in russia and ukraine,positive
54,shares of standard chartered stan rose in the while royal bank of scotland shares rose and shares were up,positive
55,shares of corp rose thursday after the cell phone maker said its earnings almost doubled and its share of the global handset market increased,positive
56,in its financial report published on friday said its net profit soared to bn in from a bn and proposed a dividend increase to per share,positive
57,sales for the department store division increased by and sales for the clothing store subsidiary increased by meanwhile sales for hobby hall decreased by,positive
58,at the request of finnish media company alma media s newspapers research manager at the finland futures research centre at the school of economics has drawn up a future scenario for finland s national economy by using a model developed by the university of denver,neutral
59,in sweden accumulated denominated sales were down and denominated sales were up,neutral
60,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production,neutral
61,when this investment is in place atria plans to expand into the moscow market,neutral
62,the new agreement is a continuation to signed earlier this year with the group whereby acquired the entire construction machine fleet oy ita ja and signed agreement said tatu managing director finland,neutral
63,at first the contract envisaged the construction of three ferryboats with an option for two more units further confirmed at a total value of euro,positive
64,in june it sold a percent stake to and the investment group has now taken up the option to acquire s remaining shares,neutral
65,corporation stock exchange release at corporation and today signed an agreement by which acquires the share capital of a subsidiary wholly owned by,positive
66,stock exchange release december at billion syndicated credit facility for has signed an agreement for a syndicated credit facility for a total of billion,positive
67,stock exchange announcement july share subscriptions with warrants and increase in share capital a total of shares have been subscribed with warrant program,neutral
68,the contract covers platform ac and optical nodes designed to increase the forward and return path capacity of the transmission networks,positive
69,the new plant is planned to have an electricity generation capacity of up to megawatts mw and the same heat generation capacity,neutral
70,the helsinki index was up pct at and the helsinki cap portfolio index was pct higher at,positive
71,so the sales growth of cars considerably influence on the tires market,neutral
72,a maximum of new shares can further be subscribed for by exercising b options under the stock option plan,neutral
73,as a result of the share issue the number of the company s shares increases by shares and the share capital by a total of,neutral
74,finnish real estate investor said on wednesday march that it has signed agreements with bank as helsinki branch for a year credit facility and with mutual pension insurance company for a year credit facility,neutral
75,on the route between helsinki in finland and in estonia cargo volumes increased by while cargo volumes between finland and sweden fell by,neutral
76,other measures included increasing synergies and economies of scale within the group and personnel adjustments and redelivery of excess tonnage,neutral
77,raised the sales by percent to million liters while the sales of grew by percent to liters,positive
78,april group sells stake in morning digital design oy finnish it company group said on friday april that it had signed an agreement on selling its shares of morning digital design oy to,neutral
79,april group sells stake in morning digital design oy finnish it company group said on friday april that it had signed an agreement on selling its shares of morning digital design oy to,positive
80,the new series a shares will become subject to trading on the helsinki stock exchange s main list together with the old series a shares on july,neutral
81,the fuel purchase contracts have been signed with three months delivery from this september to november,neutral
82,operates stores in six countries including its core finnish market and generated a turnover of in,neutral
83,under this agreement becomes a focus supplier of and disposable tips to customers throughout europe,positive
84,the combination of all services enabling us to offer a complex and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide network into the mediterranean africa and north america says,positive
85,no coming from vantage point allows investigators to see the whole story in high resolution with no unbroken video,neutral
86,the company still expects its turnover in to slightly increase from the level of adding that market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year,positive
87,the acquisition will considerably increase s sales and market position in the russian metal industry coatings market,positive
88,in net sales rose to mn from mn in the corresponding period in,positive
89,adjusted for changes in the group structure the division s net sales increased by,positive
90,the change will optimize the operational efficiencies of our growing business said julia director of marketing communications for,positive
91,they would invest not only in the physical infrastructure but would also provide knowhow for managing and developing science and technology parks said sunrise valley director,positive
92,february finnish broadband data communication systems provider hel saw its net profit jump to m for the last quarter of from for the same period of,positive
93,finnish group s operating profit rose to mn in the first quarter of from mn in the first quarter of,positive
94,finnish bank of land s consolidated net operating profit increased from mn in the first quarter of to mn in the first quarter of,positive
95,finnish financial group reports operating profit of mn in up from mn in the corresponding period in,positive
96,finnish high technology provider group reports net sales of mn in the accounting period september february an increase of from a year earlier,positive
97,net sales of finnish food industry company s continuing operations increased by in to mn from mn in,positive
98,an individual promotion also generated slightly revenues,positive
99,already services many current genesis customers and the customer base is expected to expand as a result of this agreement,positive
100,both operating profit and turnover for the period increased respectively from m and m as compared to the corresponding period in,positive
101,circulation revenue has increased by in finland and in sweden in,positive
102,clothing chain s net sales increased by to mn,positive
103,construction volumes meanwhile grow at a rate of percent annually,positive
104,finnish and swedish construction markets are still experiencing an estimated annual growth in,positive
105,however estimates its total net sales will continue to grow in and that favourable trends in net sales will lead to a profit in,positive
106,in cash flow from operating activities amounted to up from in the previous year,positive
107,in lithuania operating profit rose to from in the corresponding period in,positive
108,in the fourth quarter of net sales increased by to mn from mn in the fourth quarter of,positive
109,international sales rose by to mn,positive
110,generated net sales of some euro in,neutral
111,net sales grew in the period to million us million from million in,positive
112,net sales increased to in april to june from a year earlier,positive
113,net sales rose by to m as the number of chargers delivered went up by to million pieces,positive
114,net sales totaled mn up from mn in the corresponding period in,positive
115,also noted the average selling price of handsets declined during the period though its mobile phone profit margin rose to more than percent from percent in the quarter,positive
116,operating profit increased by to mn from mn,positive
117,operating profit margin increased from to,positive
118,operating profit rose to mn from mn in the corresponding period in,positive
119,operating profit rose to mn from mn in the fourth quarter of,positive
120,operating profit was mn up from mn,positive
121,s net sales in the second june were euro million about us million a percent increase compared with euro million for quarter last year,positive
122,revenue grew by percent to million million from million,positive
123,announced that it has signed an agreement with aker solutions of norway to supply suction anchors in september from its unit in finland,positive
124,s delivery volumes and selling prices showed favourable development and the company s comparable net sales grew by to said,positive
125,magazines net sales are estimated to grow in,positive
126,the bank forecasts finland s will grow by in and in,positive
127,the circuit s overall production rate on a weekly basis is now in excess of an average of tonnes per day with volumes in excess of tonnes per day being reached on individual days,positive
128,the company s consolidated operating profit amounted to mn up from mn,positive
129,the department store division reported an increase in sales of per cent,positive
130,the fair value of the company s investment properties grew to billion at the end of march from million a year ago,positive
131,the last quarter was the best quarter of in net sales and the operating margin rose to,positive
132,the major breweries increased their domestic beer sales by per cent last year to million litres from million litres in,positive
133,the transaction doubles and adds a fourth to their net sales,positive
134,operating profit rose by to million,positive
135,after this purchase will become the second largest rental services provider in the latvian market,positive
136,the priority for was to strengthen the company s balance sheet and increase cash flow said,positive
137,the purchase of the operations is part of s strategy to expand its offering of building system services geographically,positive
138,october finnish fishing tackle company corp hel said today its net profit rose to m for the first nine months of from m for the same period a year earlier,positive
139,a structures bim building information modeling software from a software provider has been adopted for the construction management and delivery of a university project in abu,neutral
140,according to finnish minerals the value of the company s orders has gone up to bn in months,positive
141,finnish solution has signed a contract of supply its gold system to two french retail chains,positive
142,finnish bank of land reports its operating profit rose to mn in the second quarter of from mn in the corresponding period in,positive
